Inventory,Median Dom,Median Sale,New Listings,Period End,DoW,Neighborhood,PdDistrict
7,59.5,1500000,15,2/29/12,Wed,Ashbury Heights / Parnassus,PARK
8,145,293000,7,2/29/12,Wed,Bret Harte,BAYVIEW
4,69,685000,12,2/29/12,Wed,Buena Vista,PARK
13,72,316000,19,2/29/12,Wed,Cathedral Hill,NORTHERN
7,59.5,552000,10,2/29/12,Wed,Cayuga,INGLESIDE
5,54.5,2465000,2,2/29/12,Wed,Clarendon Heights,PARK
,13,1050000,3,2/29/12,Wed,Corona Heights,PARK
6,15.5,1346000,15,2/29/12,Wed,Dolores Heights,MISSION
9,26.5,1150000,21,2/29/12,Wed,Eureka Valley,MISSION
10,44.5,857000,11,2/29/12,Wed,Fairmount,CENTRAL
,14,1427000,3,2/29/12,Wed,Forest Hill,TARAVAL
9,62,635000,20,2/29/12,Wed,Golden Gate Heights,TARAVAL
2,90,805000,4,2/29/12,Wed,Haight Ashbury,PARK
6,17,598000,9,2/29/12,Wed,Holly Park,INGLESIDE
21,54,943000,35,2/29/12,Wed,Inner Richmond,RICHMOND
11,50.5,805000,19,2/29/12,Wed,Inner Sunset,TARAVAL
4,65,792000,6,2/29/12,Wed,Lake Street,NORTHERN
8,34,703000,12,2/29/12,Wed,Laurel Heights-Jordan Park,RICHMOND
7,131,810000,8,2/29/12,Wed,Lone Mountain,RICHMOND
22,16,498000,30,2/29/12,Wed,Mission Bay,SOUTHERN
13,18,715000,27,2/29/12,Wed,Mission District,MISSION
6,17,750000,14,2/29/12,Wed,Mission Dolores,MISSION
23,32,998000,60,2/29/12,Wed,Noe Valley,MISSION
108,51,650000,140,2/29/12,Wed,Northeast San Francisco,CENTRAL
270,50,828000,376,2/29/12,Wed,Northwest San Francisco,RICHMOND
5,35,486000,12,2/29/12,Wed,Outer Mission,INGLESIDE
33,33.5,688000,43,2/29/12,Wed,Outer Richmond,RICHMOND
44,53.5,595000,61,2/29/12,Wed,Outer Sunset,TARAVAL
4,50,981000,9,2/29/12,Wed,Panhandle,PARK
16,28,680000,20,2/29/12,Wed,Parkside,TARAVAL
6,10.5,773000,5,2/29/12,Wed,Peralta Heights,BAYVIEW
8,64,2298000,10,2/29/12,Wed,Presidio Heights,NORTHERN
23,23,780000,40,2/29/12,Wed,Rincon Hill,SOUTHERN
5,43.5,1550000,7,2/29/12,Wed,Seacliff,RICHMOND
61,30.5,637000,92,2/29/12,Wed,South Beach,SOUTHERN
30,20,519000,44,2/29/12,Wed,South of Market,SOUTHERN
337,34,532000,449,2/29/12,Wed,Southeast San Francisco,BAYVIEW
313,45,660000,476,2/29/12,Wed,Southwest San Francisco,TARAVAL
10,56,600000,15,2/29/12,Wed,Sunnyside,INGLESIDE
6,40,425000,11,2/29/12,Wed,Tenderloin,TENDERLOIN
7,77,1050000,10,2/29/12,Wed,Union Street,CENTRAL
4,7,576000,10,2/29/12,Wed,University Mound,BAYVIEW
12,110,1147000,12,2/29/12,Wed,Upper Market,PARK
10,64.5,419000,20,2/29/12,Wed,Visitacion Valley,INGLESIDE
1,58,1223000,6,3/31/12,Sat,Anza Vista,PARK
6,49.5,1431000,21,3/31/12,Sat,Ashbury Heights / Parnassus,PARK
9,118,296000,11,3/31/12,Sat,Bret Harte,BAYVIEW
5,56,753000,18,3/31/12,Sat,Buena Vista,PARK
11,35,390000,24,3/31/12,Sat,Cathedral Hill,NORTHERN
9,39,540000,9,3/31/12,Sat,Cayuga,INGLESIDE
5,127,2605000,5,3/31/12,Sat,Clarendon Heights,PARK
1,11,925000,5,3/31/12,Sat,Corona Heights,PARK
11,15,1342000,29,3/31/12,Sat,Dolores Heights,MISSION
9,18.5,1150000,27,3/31/12,Sat,Eureka Valley,MISSION
6,33,883000,12,3/31/12,Sat,Fairmount,CENTRAL
5,14,825000,7,3/31/12,Sat,Forest Hill,TARAVAL
13,18,788000,31,3/31/12,Sat,Golden Gate Heights,TARAVAL
2,13,810000,12,3/31/12,Sat,Haight Ashbury,PARK
4,49,550000,9,3/31/12,Sat,Holly Park,INGLESIDE
25,47,900000,49,3/31/12,Sat,Inner Richmond,RICHMOND
12,33.5,805000,26,3/31/12,Sat,Inner Sunset,TARAVAL
3,20,715000,8,3/31/12,Sat,Lake Street,NORTHERN
5,45,722000,13,3/31/12,Sat,Laurel Heights-Jordan Park,RICHMOND
6,20,854000,11,3/31/12,Sat,Lone Mountain,RICHMOND
23,18,605000,42,3/31/12,Sat,Mission Bay,SOUTHERN
16,26,670000,47,3/31/12,Sat,Mission District,MISSION
6,14.5,797000,20,3/31/12,Sat,Mission Dolores,MISSION
32,28,1088000,97,3/31/12,Sat,Noe Valley,MISSION
97,35.5,629000,186,3/31/12,Sat,Northeast San Francisco,CENTRAL
253,34,815000,530,3/31/12,Sat,Northwest San Francisco,RICHMOND
5,16,510000,12,3/31/12,Sat,Outer Mission,INGLESIDE
26,28.5,660000,48,3/31/12,Sat,Outer Richmond,RICHMOND
