Date,DayOfWeek,PdDistrict,new_cat_domestic,new_cat_drug,new_cat_kidnap,new_cat_others,new_cat_public,new_cat_sex,new_cat_suicide,new_cat_theft,sum_crime_district
01/01/2012,Sunday,BAYVIEW,1,1,0,20,17,1,0,9,49
01/01/2012,Sunday,CENTRAL,3,2,0,11,22,0,0,22,60
01/01/2012,Sunday,INGLESIDE,0,0,0,8,11,3,0,15,37
01/01/2012,Sunday,MISSION,2,0,0,7,16,0,0,18,43
01/01/2012,Sunday,NORTHERN,0,1,0,7,14,0,1,10,33
01/01/2012,Sunday,PARK,0,0,0,5,6,0,1,4,16
01/01/2012,Sunday,RICHMOND,4,0,0,11,10,0,0,7,32
01/01/2012,Sunday,SOUTHERN,6,4,0,26,26,0,1,30,93
01/01/2012,Sunday,TARAVAL,1,0,0,12,11,2,0,12,38
01/01/2012,Sunday,TENDERLOIN,1,3,1,3,5,1,0,5,19
01/01/2013,Tuesday,BAYVIEW,3,1,1,13,16,2,0,22,58
01/01/2013,Tuesday,CENTRAL,1,0,0,6,15,0,0,21,43
01/01/2013,Tuesday,INGLESIDE,3,1,0,12,12,2,0,9,39
01/01/2013,Tuesday,MISSION,2,2,0,12,13,3,0,13,45
01/01/2013,Tuesday,NORTHERN,2,1,0,6,15,0,0,27,51
01/01/2013,Tuesday,PARK,0,2,0,10,10,0,0,10,32
01/01/2013,Tuesday,RICHMOND,0,0,0,10,14,0,0,12,36
01/01/2013,Tuesday,SOUTHERN,9,2,0,17,28,2,0,48,106
01/01/2013,Tuesday,TARAVAL,0,0,0,6,10,0,0,9,25
01/01/2013,Tuesday,TENDERLOIN,1,2,0,6,12,0,0,3,24
01/01/2014,Wednesday,BAYVIEW,2,1,0,12,16,0,0,14,45
01/01/2014,Wednesday,CENTRAL,1,0,1,7,17,0,0,33,59
01/01/2014,Wednesday,INGLESIDE,1,2,0,8,7,1,0,5,24
01/01/2014,Wednesday,MISSION,2,3,1,6,24,1,0,10,47
01/01/2014,Wednesday,NORTHERN,1,0,0,6,17,2,0,25,51
01/01/2014,Wednesday,PARK,1,0,1,3,2,1,0,4,12
01/01/2014,Wednesday,RICHMOND,2,0,1,3,10,1,0,7,24
01/01/2014,Wednesday,SOUTHERN,1,0,0,14,15,1,0,22,53
01/01/2014,Wednesday,TARAVAL,1,1,0,9,12,2,0,14,39
01/01/2014,Wednesday,TENDERLOIN,0,6,0,4,10,0,0,11,31
01/01/2015,Thursday,BAYVIEW,0,0,0,8,8,0,0,11,27
01/01/2015,Thursday,CENTRAL,2,2,1,4,20,0,0,27,56
01/01/2015,Thursday,INGLESIDE,0,0,0,10,6,0,0,6,22
01/01/2015,Thursday,MISSION,0,2,1,13,18,1,0,17,52
01/01/2015,Thursday,NORTHERN,0,1,0,10,16,1,0,34,62
01/01/2015,Thursday,PARK,2,0,0,1,1,0,0,9,13
01/01/2015,Thursday,RICHMOND,0,0,0,5,3,0,0,13,21
01/01/2015,Thursday,SOUTHERN,4,2,1,8,28,2,0,46,91
01/01/2015,Thursday,TARAVAL,1,0,0,8,16,0,0,14,39
01/01/2015,Thursday,TENDERLOIN,0,1,0,4,12,0,0,12,29
01/01/2016,Friday,BAYVIEW,1,1,0,9,7,3,0,19,40
01/01/2016,Friday,CENTRAL,0,0,0,5,28,0,0,32,65
01/01/2016,Friday,INGLESIDE,0,0,0,12,17,2,0,19,50
01/01/2016,Friday,MISSION,2,2,0,8,30,0,0,15,57
01/01/2016,Friday,NORTHERN,1,2,0,6,21,1,0,32,63
01/01/2016,Friday,PARK,4,1,0,4,3,0,0,12,24
01/01/2016,Friday,RICHMOND,0,0,0,2,8,0,0,11,21
01/01/2016,Friday,SOUTHERN,1,3,0,9,20,1,0,25,59
01/01/2016,Friday,TARAVAL,0,0,0,10,7,2,0,11,30
01/01/2016,Friday,TENDERLOIN,1,2,0,4,10,0,0,18,35
01/01/2017,Sunday,BAYVIEW,1,0,0,8,11,1,0,5,26
01/01/2017,Sunday,CENTRAL,1,0,0,4,17,0,0,24,46
01/01/2017,Sunday,INGLESIDE,0,0,0,6,12,4,0,13,35
01/01/2017,Sunday,MISSION,3,0,1,11,21,2,0,27,65
01/01/2017,Sunday,NORTHERN,2,0,0,3,12,0,0,31,48
01/01/2017,Sunday,PARK,2,0,0,5,10,0,0,12,29
01/01/2017,Sunday,RICHMOND,2,0,0,5,4,1,0,7,19
01/01/2017,Sunday,SOUTHERN,0,1,0,11,19,2,0,36,69
01/01/2017,Sunday,TARAVAL,2,0,0,3,10,0,0,14,29
01/01/2017,Sunday,TENDERLOIN,0,0,0,3,8,0,0,7,18
01/02/2012,Monday,BAYVIEW,0,0,0,6,10,0,0,9,25
01/02/2012,Monday,CENTRAL,0,0,0,3,13,1,0,9,26
01/02/2012,Monday,INGLESIDE,0,1,0,6,11,0,0,8,26
01/02/2012,Monday,MISSION,1,2,0,8,12,0,0,15,38
01/02/2012,Monday,NORTHERN,2,0,0,4,10,1,0,11,28
01/02/2012,Monday,PARK,0,0,0,2,1,0,0,11,14
01/02/2012,Monday,RICHMOND,0,0,0,0,4,0,0,11,15
01/02/2012,Monday,SOUTHERN,1,2,0,4,7,1,0,16,31
01/02/2012,Monday,TARAVAL,0,0,0,0,3,0,0,5,8
01/02/2012,Monday,TENDERLOIN,1,1,0,10,10,0,0,7,29
01/02/2013,Wednesday,BAYVIEW,4,3,0,11,12,0,0,9,39
01/02/2013,Wednesday,CENTRAL,1,0,0,1,9,0,0,19,30
01/02/2013,Wednesday,INGLESIDE,2,0,0,7,6,0,0,9,24
01/02/2013,Wednesday,MISSION,1,2,0,10,12,4,0,16,45
01/02/2013,Wednesday,NORTHERN,1,2,0,7,14,0,0,24,48
01/02/2013,Wednesday,PARK,1,1,0,4,6,0,0,4,16
01/02/2013,Wednesday,RICHMOND,0,0,0,3,4,0,0,6,13
01/02/2013,Wednesday,SOUTHERN,1,4,0,8,8,0,0,34,55
01/02/2013,Wednesday,TARAVAL,0,3,0,3,4,0,0,9,19
01/02/2013,Wednesday,TENDERLOIN,0,3,0,4,8,0,0,6,21
01/02/2014,Thursday,BAYVIEW,3,1,1,4,11,0,0,9,29
01/02/2014,Thursday,CENTRAL,0,1,0,2,5,0,0,13,21
01/02/2014,Thursday,INGLESIDE,3,2,0,2,9,0,0,13,29
01/02/2014,Thursday,MISSION,0,5,0,13,12,0,0,16,46
01/02/2014,Thursday,NORTHERN,1,0,0,6,10,0,0,24,41
01/02/2014,Thursday,PARK,1,1,0,4,5,0,0,8,19
01/02/2014,Thursday,RICHMOND,1,0,0,3,3,0,0,7,14
01/02/2014,Thursday,SOUTHERN,2,3,0,5,11,0,0,38,59
01/02/2014,Thursday,TARAVAL,0,0,0,5,7,2,0,6,20
01/02/2014,Thursday,TENDERLOIN,0,1,0,2,4,0,0,4,11
01/02/2015,Friday,BAYVIEW,1,2,0,13,12,0,0,15,43
01/02/2015,Friday,CENTRAL,0,0,0,3,9,2,0,27,41
01/02/2015,Friday,INGLESIDE,0,1,0,3,10,0,0,18,32
01/02/2015,Friday,MISSION,0,3,0,10,14,1,0,19,47
01/02/2015,Friday,NORTHERN,0,1,1,8,9,0,0,28,47
01/02/2015,Friday,PARK,3,1,0,1,2,0,0,7,14
01/02/2015,Friday,RICHMOND,1,0,0,1,4,0,0,13,19
01/02/2015,Friday,SOUTHERN,3,3,0,2,14,1,0,49,72
01/02/2015,Friday,TARAVAL,0,0,0,7,6,0,0,13,26
01/02/2015,Friday,TENDERLOIN,1,3,0,2,6,0,0,9,21
01/02/2016,Saturday,BAYVIEW,0,1,0,3,8,0,0,17,29
01/02/2016,Saturday,CENTRAL,0,0,0,5,5,0,0,24,34
01/02/2016,Saturday,INGLESIDE,3,0,0,2,5,0,0,7,17
01/02/2016,Saturday,MISSION,3,1,0,13,22,1,0,23,63
01/02/2016,Saturday,NORTHERN,0,2,0,3,15,1,0,31,52
01/02/2016,Saturday,PARK,0,0,0,2,1,0,0,4,7
01/02/2016,Saturday,RICHMOND,0,0,0,4,1,0,0,10,15
01/02/2016,Saturday,SOUTHERN,1,4,0,13,13,0,0,45,76
01/02/2016,Saturday,TARAVAL,0,0,0,4,6,0,0,12,22
01/02/2016,Saturday,TENDERLOIN,1,1,0,4,7,0,0,7,20
01/02/2017,Monday,BAYVIEW,0,2,0,6,15,0,0,14,37
01/02/2017,Monday,CENTRAL,0,1,0,5,9,0,0,22,37
01/02/2017,Monday,INGLESIDE,0,0,0,5,7,0,0,8,20
01/02/2017,Monday,MISSION,1,1,0,7,20,0,0,15,44
01/02/2017,Monday,NORTHERN,1,1,0,7,17,1,0,16,43
01/02/2017,Monday,PARK,1,0,0,3,11,1,0,14,30
01/02/2017,Monday,RICHMOND,0,0,0,0,1,0,0,8,9
01/02/2017,Monday,SOUTHERN,2,2,0,4,11,2,0,12,33
01/02/2017,Monday,TARAVAL,0,1,0,7,4,0,0,18,30
01/02/2017,Monday,TENDERLOIN,0,1,0,2,16,0,0,7,26
01/03/2012,Tuesday,BAYVIEW,2,1,0,6,11,0,0,10,30
01/03/2012,Tuesday,CENTRAL,0,0,0,5,4,0,0,8,17
01/03/2012,Tuesday,INGLESIDE,1,1,0,6,7,1,0,11,27
01/03/2012,Tuesday,MISSION,3,2,0,11,4,0,0,14,34
01/03/2012,Tuesday,NORTHERN,0,0,0,5,17,0,0,25,47
01/03/2012,Tuesday,PARK,2,1,0,5,7,0,0,5,20
01/03/2012,Tuesday,RICHMOND,0,0,0,2,4,1,0,10,17
01/03/2012,Tuesday,SOUTHERN,1,1,1,7,11,0,0,21,42
01/03/2012,Tuesday,TARAVAL,0,1,0,6,8,0,0,6,21
01/03/2012,Tuesday,TENDERLOIN,0,12,0,7,10,0,0,7,36
01/03/2013,Thursday,BAYVIEW,0,1,0,9,3,0,0,9,22
